DATE (MM/DD/YYYY),AVG Air Temperature [deg F],MAX Air Temperature [deg F],MIN Air Temperature [deg F],AVG Rel Humidity [%],MAX Rel Humidity [%],MIN Rel Humidity [%],AVG Avg Wind Speed @ 3m [MPH],MAX Avg Wind Speed @ 3m [MPH],MIN Avg Wind Speed @ 3m [MPH],AVG Peak Wind Speed @ 3m [MPH],MAX Peak Wind Speed @ 3m [MPH],MIN Peak Wind Speed @ 3m [MPH],AVG Station Pressure [inHg],MAX Station Pressure [inHg],MIN Station Pressure [inHg]
06/03/2024,85.4212,98.744,68.108,13.6332,26.75,5.339,6.4832,21.3627,0.0,9.7749,27.2906,0.0,27.2334,27.2749,27.1708
06/04/2024,86.3659,100.562,69.926,13.4004,25.77,5.982,5.9755,20.8259,0.0,9.0604,27.2906,0.0,27.2449,27.2745,27.21
06/05/2024,88.6836,102.56,71.204,13.454,24.02,8.01,6.1454,16.6652,0.0,9.1679,22.2575,0.0,27.2658,27.3137,27.2101
06/06/2024,92.0633,105.386,75.578,16.1628,28.7,9.02,6.6803,21.1614,0.0,9.7212,27.2906,0.0,27.247,27.2996,27.1803
06/07/2024,93.8615,108.338,78.206,13.0855,25.95,5.107,5.9316,25.1208,0.0,8.8651,32.3237,0.0,27.2422,27.2848,27.174
06/08/2024,90.3567,104.666,74.768,10.7404,18.7,5.406,6.9127,25.1208,0.0,10.4813,32.3237,0.0,27.2694,27.3095,27.2202
06/09/2024,89.2235,101.228,76.676,11.1282,20.45,5.917,5.7806,19.864,0.0,9.2027,28.9683,0.0,27.2956,27.3419,27.2373
06/10/2024,88.8541,103.244,72.464,13.1629,23.74,6.428,4.3825,20.8035,0.0,7.0109,25.6129,0.0,27.2767,27.3287,27.2097
06/11/2024,91.414,107.942,72.932,11.7579,21.37,5.006,4.7489,28.163,0.0,7.6569,35.6791,0.0,27.2677,27.3175,27.2
06/12/2024,92.7401,105.512,74.804,9.6082,19.6,5.225,7.653,23.9128,0.0,11.0767,32.3237,0.0,27.3052,27.3509,27.2535
06/13/2024,91.7609,101.57,79.322,10.0798,19.31,6.737,7.4818,21.8325,0.0,10.3157,28.9683,0.0,27.3054,27.3458,27.2673
06/14/2024,90.6104,102.866,75.92,10.0915,19.59,3.556,6.4159,27.134,0.0,9.2552,34.0014,0.0,27.265,27.3095,27.2136
06/15/2024,91.1359,106.376,72.554,10.5338,17.57,6.505,5.2443,28.8788,0.0,8.4216,34.0014,0.0,27.2257,27.2833,27.1596
06/16/2024,92.8252,105.89,77.522,12.003,22.12,6.431,6.0439,26.7985,0.0,9.1874,34.0014,0.0,27.1747,27.2416,27.0929
06/17/2024,90.8971,101.354,78.458,13.061,25.09,5.794,10.8221,33.6659,0.0,15.8847,42.3899,0.0,27.1187,27.1574,27.0545
06/18/2024,88.9103,99.986,76.352,14.2218,23.72,7.764,8.0932,25.859,0.0,12.1205,37.3568,0.0,27.1605,27.2177,27.1238
06/19/2024,90.4885,103.334,76.568,17.4074,33.15,7.556,6.3281,22.3246,0.0,9.5944,28.9683,0.0,27.2046,27.2526,27.145
06/20/2024,91.8552,107.168,76.172,23.1983,35.32,14.07,6.3668,19.3271,0.0,11.6728,32.3237,0.0,27.1688,27.2128,27.0947
06/21/2024,91.0754,104.198,81.932,32.5119,54.18,14.6,7.6251,22.1457,1.1341,14.7335,37.3568,3.8028,27.21,27.3001,27.1613
06/22/2024,82.7702,102.128,71.69,57.5123,98.4,24.06,3.8489,31.0487,0.0,7.8332,49.1008,0.0,27.3037,27.3531,27.2758
06/23/2024,86.635,99.392,78.116,52.5131,81.3,25.13,5.3439,22.3246,0.0,8.4046,32.3237,0.0,27.3036,27.3421,27.2388
06/24/2024,88.8715,101.498,80.888,41.6038,60.58,21.87,4.4971,22.6154,0.0,7.0191,25.6129,0.0,27.299,27.3394,27.238
06/25/2024,88.7356,102.182,75.2,42.8854,74.07,22.53,5.5529,43.4189,0.0,8.2708,50.7785,0.0,27.2998,27.3307,27.25
06/26/2024,92.4912,102.092,80.96,34.5243,57.73,20.51,7.9172,21.9891,0.0,11.3334,28.9683,0.0,27.2938,27.3441,27.2318
06/27/2024,94.4276,104.126,83.732,28.8512,50.29,18.09,7.5119,29.192,0.0,10.646,35.6791,0.0,27.2307,27.2868,27.1525
06/28/2024,88.0278,102.524,75.956,41.1866,74.18,20.31,6.0881,44.3137,0.0,9.944,57.4893,0.0,27.2418,27.2967,27.185
06/29/2024,87.7427,98.258,77.954,42.1736,62.61,24.05,6.2408,19.6403,0.0,9.106,25.6129,0.0,27.2825,27.3341,27.2385
06/30/2024,87.6136,101.606,79.052,39.5162,54.39,21.34,5.049,15.6586,0.0,9.4573,35.6791,0.0,27.3296,27.3713,27.2758
